name	lat	long	start_time	end_time	attending_count	type,id
How To Get Published	43.6636499	-79.3944999	2017-11-01T17:00:00-0400	2017-11-01T20:00:00-0400	64	public	1527358084010020
UCOC's Ghostly Halloween Party	43.66326	-79.3975899	2017-10-31T18:00:00-0400	2017-10-31T21:00:00-0400	16	public	1647449385297976
Halloween Spooktacular	43.65329	-79.42695	2017-10-31T20:00:00-0400	2017-11-01T02:00:00-0400	48	public	103660307057569
Costumes & Cocktails: 3rd Annual Halloween Soiree	43.64785	-79.42433	2017-10-31T20:00:00-0400	2017-11-01T00:00:00-0400	112	public	669616173244887
BCG Day with UTCA, YNCN, and RCCA	43.6487	-79.38545	2017-11-03T09:00:00-0400	2017-11-03T12:00:00-0400	9	public	137192830266697
Whole Life Expo 2017	43.6439141	-79.386583	2017-11-03T16:00:00-0400	2017-11-05T18:00:00-0500	576	public	1675406462492369
Speaker Series: David Ceolin	43.6628917	-79.3956564	2017-10-31T12:00:00-0400	2017-10-31T14:00:00-0400	0	public	387364528361392
ELP- Halloween Social	43.66671	-79.39876	2017-10-31T13:00:00-0400	2017-10-31T15:00:00-0400	43	public	131183684301099
Gospel & Jazz: A Family Reunion - Concert	43.6598736	-79.3622526	2017-11-04T19:00:00-0400	2017-11-05T21:30:00-0500	53	public	156656554916542
University of Toronto Mock Trial Competition	43.662222222222	-79.395833333333	2017-11-03T10:00:00-0400	2017-11-05T13:00:00-0500	0	public	123736461612717
Bitmaker: Intro to Data Analytics	43.6474475	-79.3870878	2017-10-31T18:30:00-0400	2017-10-31T20:30:00-0400	34	public	134383227290291
Tables by the Back – Studio Session	43.659737791811	-79.400854110718	2017-10-30T16:00:00-0400	2017-10-30T18:00:00-0400	5	public	133318710757610
SSS 137 w/ Casualties of Sound	43.65677	-79.40321	2017-11-01T18:00:00-0400	2017-11-01T21:00:00-0400	11	public	128297761204653
Toronto Death Cafe	43.670246353013	-79.298844337463	2017-11-03T19:30:00-0400	2017-11-03T21:00:00-0400	51	public	1922294748096154
RCIG Networking Night 2017	43.6388378	-79.3806105	2017-11-02T19:00:00-0400	2017-11-02T22:00:00-0400	20	public	2002018026711634
Toronto Cow Save Vigil	43.67373	-79.4718	2017-10-31T09:30:00-0400	2017-10-31T12:00:00-0400	12	public	105283266890393
Halloween Pumpkin Parade	43.6684712401	-79.3871691363	2017-11-01T18:00:00-0400	2017-11-01T19:30:00-0400	11	public	1730074187298610
Indigenous Cultural Competency Training	43.6681907	-79.4049466	2017-11-01T09:30:00-0400	2017-11-01T15:00:00-0400	25	public	277756909397172
Halloween On Church Street	43.664588905779	-79.380482257075	2017-10-31T18:30:00-0400	2017-11-01T02:00:00-0400	833	public	278148976037305
Medieval Times Job Fair - Toronto	43.632468815217	-79.425880317354	2017-11-01T15:00:00-0400	2017-11-01T20:00:00-0400	0	public	782121711976927
Error
Scary Skate!	43.667083333333	-79.396111111111	2017-10-31T19:00:00-0400	2017-10-31T20:30:00-0400	34	public	298683483949294
Sorauren Park Pumpkin Parade	43.64791	-79.44333	2017-11-01T18:00:00-0400	2017-11-01T22:00:00-0400	336	public	1475983032484899
The MSA presents: Under the Moonlight Formal 2017	43.65094	-79.4934	2017-11-03T17:30:00-0400	2017-11-03T20:30:00-0400	27	public	147410009202657
Portfolio Day 8	43.6311	-79.5037	2017-11-03T19:00:00-0400	2017-11-03T22:00:00-0400	188	public	269543483488974
Day of the Dead	43.66053	-79.3435	2017-11-02T19:00:00-0400	2017-11-03T00:00:00-0400	31	public	1459203584200539
NxtSteps: Engineering Student Panel	43.6408501	-79.3787079	2017-11-02T18:00:00-0400	2017-11-02T20:00:00-0400	28	public	1808343589426358
SYP 5 Year Anniversary Party!	43.70352	-79.52416	2017-11-03T19:30:00-0400	2017-11-04T00:00:00-0400	35	public	882678785232100
FREE: Intro to HTML + CSS	43.6474475	-79.3870878	2017-11-01T18:30:00-0400	2017-11-01T20:30:00-0400	3	public	127504451303507
EcoFair at the Barns - 2017	43.67996	-79.42406	2017-11-05T11:00:00-0500	2017-11-05T16:00:00-0500	160	public	332025357241704
Error
Writer's Co-op: Workshops	43.6636499	-79.3944999	2017-09-18T14:30:00-0400	2017-11-27T16:00:00-0500	15	public	1909611442692093
Mentorship at Newman Centre	43.66447	-79.39801	2017-11-02T18:00:00-0400	2017-11-02T19:30:00-0400	0	public	125577731422439
Design + Fashion Industry Night	43.6967221	-79.39577539999999	2017-11-02T18:00:00-0400	2017-11-02T20:00:00-0400	13	public	1293033870808500
Slaughter Beach, Dog at Smiling Buddha	43.65329	-79.42695	2017-11-03T19:00:00-0400		36	public	300763070391519
Mimico Pumpkin Parade	43.612475546516	-79.492566741961	2017-11-01T18:00:00-0400	2017-11-01T20:30:00-0400	61	public	119948128717139
Partake Brewing Launch Party	43.6658788	-79.4704324	2017-11-05T18:30:00-0500	2017-11-05T22:30:00-0500	0	public	123321068379231
Brazil Film Fest - Toronto	43.64665	-79.39041	2017-11-03T18:00:00-0400	2017-11-05T22:00:00-0500	29	public	233656650501493
FREE: Digital Marketing Workshop	43.6474475	-79.3870878	2017-10-31T18:30:00-0400	2017-10-31T20:30:00-0400	8	public	769853996558306
Understanding Smarter Cities: What Happens Next?	43.66556	-79.3995599	2017-11-02T18:30:00-0400	2017-11-02T20:30:00-0400	66	public	738991359630669
Muslim Cool: Instrumentalizing Blackness	43.662587972399	-79.404646754339	2017-11-03T19:00:00-0400	2017-11-03T22:00:00-0400	65	public	1831393047173295
Halloween - Treats and Beats	43.6637611	-79.41642	2017-10-31T16:00:00-0400	2017-10-31T22:00:00-0400	14	public	1921877528062568
Earlscourt Park Pumpkin Parade	43.67236	-79.44926	2017-11-01T18:30:00-0400	2017-11-01T20:00:00-0400	29	public	2127619610597153
Litios Light Crystals at the Whole Life Expo Toronto	43.643754142689	-79.386119518164	2017-11-03T16:00:00-0400	2017-11-05T18:00:00-0500	4	public	1980504222196594
Church Street Halloween Crawl	43.6487	-79.38545	2017-10-31T20:00:00-0400	2017-10-31T21:30:00-0400	8	public	137105196925332
CASS UTSG Presents: CASS Bootcamp 2017	43.6686152	-79.3973877	2017-11-03T20:30:00-0400	2017-11-04T12:00:00-0400	65	public	134543170531721
8th Annual DECA Pumpkin Parade	43.683728781758	-79.315286310382	2017-11-01T18:30:00-0400	2017-11-01T21:00:00-0400	51	public	1705889949484358
Suáh: Halloween ft. Waraibo	43.6563	-79.40702	2017-11-03T22:00:00-0400	2017-11-04T03:00:00-0400	84	public	1617645244964859
WITCH Walk & Ancestor Ceremony	43.656136207298	-79.393022060394	2017-10-31T17:30:00-0400	2017-10-31T19:30:00-0400	19	public	366346037153184
Xpace Cultural Centre November Exhibitions Opening Reception	43.65079	-79.43937	2017-11-03T19:00:00-0400	2017-11-03T22:00:00-0400	133	public	159256721326743
Online/Offline, An Exclusive Film Event	43.64749	-79.39539	2017-11-02T18:30:00-0400	2017-11-02T21:00:00-0400	18	public	179649052597145
Error
FREE: Intro to UX Design	43.6474475	-79.3870878	2017-11-02T18:30:00-0400	2017-11-02T20:30:00-0400	0	public	379118365850266
Canadian Exclusive: Annie Leibovitz	43.66963	-79.38864	2017-11-02T19:00:00-0400	2017-11-02T20:00:00-0400	73	public	1152066201605150
The Spot 3	43.65481	-79.41577	2017-11-05T20:00:00-0500	2017-11-06T01:00:00-0500	33	public	1446946625340518
Halloween Drag Fright	43.66754	-79.39322	2017-10-31T19:00:00-0400	2017-10-31T21:00:00-0400	13	public	1830327493873156
Sundaze (Launch Party) - with The Magician On Duty!	43.6479861	-79.3901003	2017-11-05T16:00:00-0500	2017-11-05T22:00:00-0500	127	public	979149012247513
Toronto Luxury Chocolate Show	43.6719053	-79.3866865	2017-11-04T12:01:00-0400	2017-11-05T18:00:00-0500	378	public	804055206424474
Day of the Dead	43.63853286816	-79.382770038036	2017-11-04T12:00:00-0400	2017-11-05T18:00:00-0500	525	public	1378423548950092
Dance your feels	43.65323	-79.4271	2017-11-03T19:00:00-0400	2017-11-03T22:00:00-0400	6	public	503474450036578
Networking and Inspirational Leadership Event	43.6461	-79.3883	2017-11-03T17:00:00-0400	2017-11-03T21:30:00-0400	37	public	172138840008753
Building the Left	43.66446	-79.41068	2017-11-03T19:00:00-0400	2017-11-03T21:00:00-0400	18	public	122674215081146
Cube of Truth: Toronto, October 31st	43.6633891	-79.3828754	2017-10-31T19:00:00-0400	2017-10-31T22:00:00-0400	23	public	479442859078546
6th Annual Mimico Pumpkin Parade	43.61353	-79.48881	2017-11-01T18:00:00-0400	2017-11-01T20:30:00-0400	84	public	688877324655646
Animating Toronto Parks Information Session	43.766271413876	-79.414139819661	2017-11-02T10:00:00-0400	2017-11-02T12:30:00-0400	25	public	134481233870668
UTGB Halloween Krispy Kreme and Coffee Sale!	43.6596	-79.3972	2017-10-31T10:00:00-0400	2017-10-31T17:00:00-0400	13	public	1253000254800100
Art & Music On The Roof	43.6664195	-79.4039092	2017-11-03T17:00:00-0400	2017-11-03T21:00:00-0400	15	public	366053397150379
Thriller at Fiction Nightclub Toronto	43.647571	-79.389106	2017-10-31T21:00:00-0400	2017-11-01T03:00:00-0400	10	public	141244796619591
Punkin' Grove	43.6653	-79.3228	2017-11-01T17:30:00-0400	2017-11-01T20:00:00-0400	10	public	1489578171125331
