lat,long,time
43.655,-79.402,180
43.655,-79.401,300
43.655,-79.400,240
43.655,-79.399,240
43.655,-79.398,300
43.655,-79.397,300
43.655,-79.396,360
43.655,-79.395,300
43.655,-79.394,300
43.655,-79.393,300
43.655,-79.392,300
43.655,-79.391,360
43.655,-79.390,300
43.655,-79.389,300
43.655,-79.388,180
43.655,-79.387,240
43.655,-79.386,240
43.655,-79.385,240
43.655,-79.384,300
43.655,-79.383,300
43.655,-79.382,300
43.655,-79.381,300
43.655,-79.380,360
43.656,-79.402,180
43.656,-79.401,180
43.656,-79.400,180
43.656,-79.399,240
43.656,-79.398,240
43.656,-79.397,300
43.656,-79.396,300
43.656,-79.395,300
43.656,-79.394,300
43.656,-79.393,300
43.656,-79.392,300
43.656,-79.391,300
43.656,-79.390,300
43.656,-79.389,240
43.656,-79.388,240
43.656,-79.387,240
43.656,-79.386,240
43.656,-79.385,240
43.656,-79.384,300
43.656,-79.383,300
43.656,-79.382,300
43.656,-79.381,360
43.656,-79.380,360
43.657,-79.402,180
43.657,-79.401,180
43.657,-79.400,240
43.657,-79.399,240
43.657,-79.398,300
43.657,-79.397,240
43.657,-79.396,300
43.657,-79.395,240
43.657,-79.394,300
43.657,-79.393,300
43.657,-79.392,300
43.657,-79.391,300
43.657,-79.390,300
43.657,-79.389,240
43.657,-79.388,240
43.657,-79.387,240
43.657,-79.386,240
43.657,-79.385,240
43.657,-79.384,300
43.657,-79.383,300
43.657,-79.382,300
43.657,-79.381,300
43.657,-79.380,360
43.658,-79.402,180
43.658,-79.401,180
43.658,-79.400,180
43.658,-79.399,240
43.658,-79.398,240
43.658,-79.397,360
43.658,-79.396,240
43.658,-79.395,300
43.658,-79.394,300
43.658,-79.393,240
43.658,-79.392,360
43.658,-79.391,360
43.658,-79.390,300
43.658,-79.389,240
43.658,-79.388,240
43.658,-79.387,240
43.658,-79.386,300
43.658,-79.385,300
43.658,-79.384,300
43.658,-79.383,300
43.658,-79.382,300
43.658,-79.381,300
43.658,-79.380,360
