lat,long,time
43.655,-79.402,540
43.655,-79.401,600
43.655,-79.400,540
43.655,-79.399,480
43.655,-79.398,420
43.655,-79.397,480
43.655,-79.396,420
43.655,-79.395,420
43.655,-79.394,300
43.655,-79.393,240
43.655,-79.392,300
43.655,-79.391,300
43.655,-79.390,180
43.655,-79.389,180
43.655,-79.388,180
43.655,-79.387,120
43.655,-79.386,120
43.655,-79.385,120
43.655,-79.384,180
43.655,-79.383,120
43.655,-79.382,120
43.655,-79.381,180
43.655,-79.380,120
43.656,-79.402,720
43.656,-79.401,480
43.656,-79.400,480
43.656,-79.399,540
43.656,-79.398,480
43.656,-79.397,480
43.656,-79.396,420
43.656,-79.395,420
43.656,-79.394,360
43.656,-79.393,420
43.656,-79.392,240
43.656,-79.391,300
43.656,-79.390,240
43.656,-79.389,300
43.656,-79.388,180
43.656,-79.387,120
43.656,-79.386,120
43.656,-79.385,180
43.656,-79.384,120
43.656,-79.383,120
43.656,-79.382,180
43.656,-79.381,180
43.656,-79.380,180
43.657,-79.402,600
43.657,-79.401,660
43.657,-79.400,480
43.657,-79.399,480
43.657,-79.398,540
43.657,-79.397,480
43.657,-79.396,480
43.657,-79.395,420
43.657,-79.394,420
43.657,-79.393,360
43.657,-79.392,300
43.657,-79.391,300
43.657,-79.390,300
43.657,-79.389,180
43.657,-79.388,240
43.657,-79.387,240
43.657,-79.386,180
43.657,-79.385,180
43.657,-79.384,120
43.657,-79.383,180
43.657,-79.382,180
43.657,-79.381,240
43.657,-79.380,120
43.658,-79.402,540
43.658,-79.401,600
43.658,-79.400,540
43.658,-79.399,540
43.658,-79.398,480
43.658,-79.397,480
43.658,-79.396,480
43.658,-79.395,420
43.658,-79.394,420
43.658,-79.393,360
43.658,-79.392,420
43.658,-79.391,360
43.658,-79.390,300
43.658,-79.389,240
43.658,-79.388,240
43.658,-79.387,240
43.658,-79.386,240
43.658,-79.385,180
43.658,-79.384,180
43.658,-79.383,180
43.658,-79.382,180
43.658,-79.381,240
43.658,-79.380,240
