lat,long,time
43.655,-79.402,480
43.655,-79.401,660
43.655,-79.400,540
43.655,-79.399,480
43.655,-79.398,300
43.655,-79.397,300
43.655,-79.396,300
43.655,-79.395,240
43.655,-79.394,240
43.655,-79.393,180
43.655,-79.392,180
43.655,-79.391,240
43.655,-79.390,240
43.655,-79.389,180
43.655,-79.388,300
43.655,-79.387,180
43.655,-79.386,240
43.655,-79.385,180
43.655,-79.384,300
43.655,-79.383,180
43.655,-79.382,240
43.655,-79.381,120
43.655,-79.380,240
43.656,-79.402,480
43.656,-79.401,480
43.656,-79.400,180
43.656,-79.399,420
43.656,-79.398,300
43.656,-79.397,360
43.656,-79.396,360
43.656,-79.395,300
43.656,-79.394,240
43.656,-79.393,300
43.656,-79.392,180
43.656,-79.391,240
43.656,-79.390,300
43.656,-79.389,240
43.656,-79.388,240
43.656,-79.387,180
43.656,-79.386,180
43.656,-79.385,180
43.656,-79.384,120
43.656,-79.383,180
43.656,-79.382,180
43.656,-79.381,120
43.656,-79.380,120
43.657,-79.402,360
43.657,-79.401,420
43.657,-79.400,480
43.657,-79.399,300
43.657,-79.398,420
43.657,-79.397,300
43.657,-79.396,300
43.657,-79.395,240
43.657,-79.394,240
43.657,-79.393,240
43.657,-79.392,180
43.657,-79.391,180
43.657,-79.390,300
43.657,-79.389,180
43.657,-79.388,180
43.657,-79.387,120
43.657,-79.386,120
43.657,-79.385,120
43.657,-79.384,120
43.657,-79.383,120
43.657,-79.382,120
43.657,-79.381,120
43.657,-79.380,180
43.658,-79.402,360
43.658,-79.401,420
43.658,-79.400,360
43.658,-79.399,360
43.658,-79.398,300
43.658,-79.397,300
43.658,-79.396,240
43.658,-79.395,240
43.658,-79.394,240
43.658,-79.393,180
43.658,-79.392,240
43.658,-79.391,240
43.658,-79.390,300
43.658,-79.389,240
43.658,-79.388,180
43.658,-79.387,180
43.658,-79.386,120
43.658,-79.385,120
43.658,-79.384,120
43.658,-79.383,120
43.658,-79.382,120
43.658,-79.381,120
43.658,-79.380,180
