"","-79.402","-79.401","-79.4","-79.399","-79.398","-79.397","-79.396","-79.395","-79.394","-79.393","-79.392","-79.391","-79.39","-79.389","-79.388","-79.387","-79.386","-79.385","-79.384","-79.383","-79.382","-79.381","-79.38"
"43.655",480,420,300,240,180,240,420,360,300,180,180,240,420,300,240,240,180,240,300,300,300,180,240
"43.656",540,360,300,180,120,240,420,360,240,180,180,240,300,300,240,180,180,300,300,300,240,300,300
"43.657",480,300,300,180,180,240,420,240,240,180,180,360,360,300,240,180,180,360,300,240,240,240,300
"43.658",420,300,300,120,240,420,360,300,240,120,180,360,300,300,240,240,180,300,300,300,180,240,360
