lat,long,time
43.656,-79.435,360
43.656,-79.433,300
43.656,-79.431,420
43.656,-79.429,420
43.656,-79.427,360
43.656,-79.425,360
43.656,-79.423,300
43.656,-79.421,360
43.656,-79.419,360
43.656,-79.417,300
43.656,-79.415,360
43.656,-79.413,300
43.656,-79.411,180
43.656,-79.409,180
43.656,-79.407,240
43.656,-79.405,180
43.656,-79.403,180
43.656,-79.401,300
43.656,-79.399,300
43.656,-79.397,300
43.656,-79.395,180
43.656,-79.393,240
43.656,-79.391,300
43.656,-79.389,300
43.656,-79.387,240
43.656,-79.385,240
43.656,-79.383,180
43.656,-79.381,120
43.656,-79.379,120
43.656,-79.377,120
43.656,-79.375,180
43.656,-79.373,180
43.656,-79.371,180
43.656,-79.369,300
43.656,-79.367,300
43.656,-79.365,300
43.656,-79.363,360
43.656,-79.361,420
43.656,-79.359,480
43.658,-79.435,300
43.658,-79.433,360
43.658,-79.431,420
43.658,-79.429,360
43.658,-79.427,480
43.658,-79.425,360
43.658,-79.423,360
43.658,-79.421,360
43.658,-79.419,300
43.658,-79.417,600
43.658,-79.415,780
43.658,-79.413,600
43.658,-79.411,540
43.658,-79.409,480
43.658,-79.407,600
43.658,-79.405,360
43.658,-79.403,300
43.658,-79.401,300
43.658,-79.399,240
43.658,-79.397,300
43.658,-79.395,180
43.658,-79.393,120
43.658,-79.391,240
43.658,-79.389,240
43.658,-79.387,180
43.658,-79.385,180
43.658,-79.383,180
43.658,-79.381,180
43.658,-79.379,240
43.658,-79.377,240
43.658,-79.375,240
43.658,-79.373,300
43.658,-79.371,360
43.658,-79.369,420
43.658,-79.367,480
43.658,-79.365,360
43.658,-79.363,420
43.658,-79.361,480
43.658,-79.359,540
43.660,-79.435,420
43.660,-79.433,420
43.660,-79.431,360
43.660,-79.429,240
43.660,-79.427,300
43.660,-79.425,300
43.660,-79.423,300
43.660,-79.421,300
43.660,-79.419,300
43.660,-79.417,240
43.660,-79.415,240
43.660,-79.413,420
43.660,-79.411,420
43.660,-79.409,480
43.660,-79.407,540
43.660,-79.405,600
43.660,-79.403,600
43.660,-79.401,600
43.660,-79.399,480
43.660,-79.397,480
43.660,-79.395,360
43.660,-79.393,480
43.660,-79.391,360
43.660,-79.389,300
43.660,-79.387,360
43.660,-79.385,300
43.660,-79.383,360
43.660,-79.381,240
43.660,-79.379,120
43.660,-79.377,120
43.660,-79.375,240
43.660,-79.373,240
43.660,-79.371,300
43.660,-79.369,300
43.660,-79.367,360
43.660,-79.365,540
43.660,-79.363,960
43.660,-79.361,540
43.660,-79.359,600
43.662,-79.435,360
43.662,-79.433,360
43.662,-79.431,300
43.662,-79.429,360
43.662,-79.427,360
43.662,-79.425,540
43.662,-79.423,480
43.662,-79.421,600
43.662,-79.419,660
43.662,-79.417,-1
43.662,-79.415,600
43.662,-79.413,540
43.662,-79.411,600
43.662,-79.409,540
43.662,-79.407,480
43.662,-79.405,540
43.662,-79.403,480
43.662,-79.401,540
43.662,-79.399,360
43.662,-79.397,360
43.662,-79.395,240
43.662,-79.393,300
43.662,-79.391,240
43.662,-79.389,180
43.662,-79.387,180
43.662,-79.385,180
43.662,-79.383,240
43.662,-79.381,300
43.662,-79.379,300
43.662,-79.377,360
43.662,-79.375,300
43.662,-79.373,360
43.662,-79.371,360
43.662,-79.369,360
43.662,-79.367,360
43.662,-79.365,480
43.662,-79.363,480
43.662,-79.361,420
43.662,-79.359,420
43.664,-79.435,420
43.664,-79.433,360
43.664,-79.431,360
43.664,-79.429,300
43.664,-79.427,480
43.664,-79.425,600
43.664,-79.423,600
43.664,-79.421,540
43.664,-79.419,840
43.664,-79.417,660
43.664,-79.415,600
43.664,-79.413,600
43.664,-79.411,600
43.664,-79.409,-1
43.664,-79.407,600
43.664,-79.405,540
43.664,-79.403,720
43.664,-79.401,720
43.664,-79.399,480
43.664,-79.397,540
43.664,-79.395,480
43.664,-79.393,300
43.664,-79.391,720
43.664,-79.389,180
43.664,-79.387,480
43.664,-79.385,660
43.664,-79.383,420
43.664,-79.381,480
43.664,-79.379,420
43.664,-79.377,420
43.664,-79.375,420
43.664,-79.373,420
43.664,-79.371,540
43.664,-79.369,480
43.664,-79.367,540
43.664,-79.365,600
43.664,-79.363,600
43.664,-79.361,600
43.664,-79.359,600
43.666,-79.435,180
43.666,-79.433,180
43.666,-79.431,180
43.666,-79.429,300
43.666,-79.427,240
43.666,-79.425,420
43.666,-79.423,720
43.666,-79.421,660
43.666,-79.419,660
43.666,-79.417,720
43.666,-79.415,240
43.666,-79.413,300
43.666,-79.411,300
43.666,-79.409,300
43.666,-79.407,480
43.666,-79.405,600
43.666,-79.403,540
43.666,-79.401,540
43.666,-79.399,540
43.666,-79.397,480
43.666,-79.395,480
43.666,-79.393,240
43.666,-79.391,300
43.666,-79.389,300
43.666,-79.387,300
43.666,-79.385,240
43.666,-79.383,360
43.666,-79.381,300
43.666,-79.379,360
43.666,-79.377,420
43.666,-79.375,420
43.666,-79.373,480
43.666,-79.371,480
43.666,-79.369,480
43.666,-79.367,480
43.666,-79.365,480
43.666,-79.363,420
43.666,-79.361,420
43.666,-79.359,480
