lat,long,time,price
43.656,-79.435,300,CA$5-7
43.656,-79.434,180,CA$5-7
43.656,-79.433,180,CA$5-7
43.656,-79.432,300,CA$5-7
43.656,-79.431,240,CA$5-7
43.656,-79.430,240,CA$5-7
43.656,-79.429,180,CA$5-7
43.656,-79.428,240,CA$5-7
43.656,-79.427,240,CA$5-7
43.656,-79.426,240,CA$5-7
43.656,-79.425,240,CA$5-7
43.656,-79.424,240,CA$5-7
43.656,-79.423,-1,-1
43.656,-79.422,-1,-1
43.656,-79.421,-1,-1
43.656,-79.420,-1,-1
43.656,-79.419,-1,-1
43.656,-79.418,-1,-1
43.656,-79.417,-1,-1
43.656,-79.416,-1,-1
43.656,-79.415,-1,-1
43.656,-79.414,-1,-1
43.656,-79.413,-1,-1
43.656,-79.412,-1,-1
43.656,-79.411,-1,-1
43.656,-79.410,-1,-1
43.656,-79.409,-1,-1
43.656,-79.408,-1,-1
43.656,-79.407,-1,-1
43.656,-79.406,-1,-1
43.656,-79.405,-1,-1
43.656,-79.404,-1,-1
43.656,-79.403,-1,-1
43.656,-79.402,-1,-1
43.656,-79.401,-1,-1
43.656,-79.400,-1,-1
43.656,-79.399,-1,-1
43.656,-79.398,-1,-1
43.656,-79.397,-1,-1
43.656,-79.396,-1,-1
43.656,-79.395,-1,-1
43.656,-79.394,-1,-1
43.656,-79.393,-1,-1
43.656,-79.392,-1,-1
43.656,-79.391,-1,-1
43.656,-79.390,-1,-1
43.656,-79.389,-1,-1
43.656,-79.388,-1,-1
43.656,-79.387,-1,-1
43.656,-79.386,-1,-1
43.656,-79.385,-1,-1
43.656,-79.384,-1,-1
43.656,-79.383,-1,-1
43.656,-79.382,-1,-1
43.656,-79.381,-1,-1
43.656,-79.380,-1,-1
43.656,-79.379,-1,-1
43.656,-79.378,-1,-1
43.656,-79.377,-1,-1
43.656,-79.376,-1,-1
43.656,-79.375,-1,-1
43.656,-79.374,-1,-1
43.656,-79.373,-1,-1
43.656,-79.372,-1,-1
43.656,-79.371,-1,-1
43.656,-79.370,-1,-1
43.656,-79.369,-1,-1
43.656,-79.368,-1,-1
43.656,-79.367,-1,-1
43.656,-79.366,-1,-1
43.656,-79.365,-1,-1
43.656,-79.364,-1,-1
43.656,-79.363,-1,-1
43.656,-79.362,-1,-1
43.656,-79.361,-1,-1
43.656,-79.360,-1,-1
43.657,-79.435,-1,-1
43.657,-79.434,-1,-1
43.657,-79.433,-1,-1
43.657,-79.432,-1,-1
43.657,-79.431,-1,-1
43.657,-79.430,-1,-1
43.657,-79.429,-1,-1
43.657,-79.428,-1,-1
43.657,-79.427,-1,-1
43.657,-79.426,-1,-1
43.657,-79.425,-1,-1
