lat,long,time
43.855,-79.493,120
43.855,-79.489,120
43.855,-79.485,180
43.855,-79.481,240
43.855,-79.477,360
43.855,-79.473,300
43.855,-79.469,240
43.855,-79.465,240
43.855,-79.461,180
43.855,-79.457,240
43.855,-79.453,240
43.855,-79.449,360
43.855,-79.445,300
43.855,-79.441,240
43.855,-79.437,180
43.855,-79.433,120
43.855,-79.429,180
43.855,-79.425,120
43.855,-79.421,180
43.855,-79.417,120
43.855,-79.413,120
43.855,-79.409,180
43.855,-79.405,180
43.855,-79.401,180
43.855,-79.397,300
43.855,-79.393,300
43.859,-79.493,120
43.859,-79.489,120
43.859,-79.485,120
43.859,-79.481,240
43.859,-79.477,240
43.859,-79.473,480
43.859,-79.469,300
43.859,-79.465,300
43.859,-79.461,240
43.859,-79.457,300
43.859,-79.453,240
43.859,-79.449,300
43.859,-79.445,240
43.859,-79.441,240
43.859,-79.437,180
43.859,-79.433,180
43.859,-79.429,300
43.859,-79.425,300
43.859,-79.421,300
43.859,-79.417,180
43.859,-79.413,180
43.859,-79.409,180
43.859,-79.405,120
43.859,-79.401,180
43.859,-79.397,240
43.859,-79.393,300
43.863,-79.493,180
43.863,-79.489,240
43.863,-79.485,240
43.863,-79.481,180
43.863,-79.477,180
43.863,-79.473,240
43.863,-79.469,300
43.863,-79.465,300
43.863,-79.461,300
43.863,-79.457,300
43.863,-79.453,360
43.863,-79.449,300
43.863,-79.445,180
43.863,-79.441,180
43.863,-79.437,120
43.863,-79.433,120
43.863,-79.429,240
43.863,-79.425,300
43.863,-79.421,360
43.863,-79.417,180
43.863,-79.413,120
43.863,-79.409,120
43.863,-79.405,120
43.863,-79.401,120
43.863,-79.397,180
43.863,-79.393,240
43.867,-79.493,240
43.867,-79.489,300
43.867,-79.485,300
43.867,-79.481,300
43.867,-79.477,360
43.867,-79.473,480
43.867,-79.469,300
43.867,-79.465,480
43.867,-79.461,300
43.867,-79.457,300
43.867,-79.453,360
43.867,-79.449,300
43.867,-79.445,240
43.867,-79.441,180
43.867,-79.437,120
43.867,-79.433,240
43.867,-79.429,240
43.867,-79.425,240
43.867,-79.421,240
43.867,-79.417,240
43.867,-79.413,120
43.867,-79.409,180
43.867,-79.405,180
43.867,-79.401,240
43.867,-79.397,240
43.867,-79.393,240
43.871,-79.493,360
43.871,-79.489,300
43.871,-79.485,540
43.871,-79.481,540
43.871,-79.477,540
43.871,-79.473,480
43.871,-79.469,480
43.871,-79.465,420
43.871,-79.461,360
43.871,-79.457,360
43.871,-79.453,420
43.871,-79.449,240
43.871,-79.445,180
43.871,-79.441,180
43.871,-79.437,120
43.871,-79.433,120
43.871,-79.429,240
43.871,-79.425,240
43.871,-79.421,180
43.871,-79.417,180
43.871,-79.413,180
43.871,-79.409,240
43.871,-79.405,240
43.871,-79.401,240
43.871,-79.397,300
43.871,-79.393,300
43.875,-79.493,360
43.875,-79.489,360
43.875,-79.485,480
43.875,-79.481,420
43.875,-79.477,480
43.875,-79.473,480
43.875,-79.469,420
43.875,-79.465,420
43.875,-79.461,420
43.875,-79.457,300
43.875,-79.453,300
43.875,-79.449,180
43.875,-79.445,120
43.875,-79.441,120
43.875,-79.437,120
43.875,-79.433,180
43.875,-79.429,240
43.875,-79.425,180
43.875,-79.421,120
43.875,-79.417,120
43.875,-79.413,240
43.875,-79.409,300
43.875,-79.405,240
43.875,-79.401,300
43.875,-79.397,300
43.875,-79.393,300
43.879,-79.493,360
43.879,-79.489,360
43.879,-79.485,420
43.879,-79.481,480
43.879,-79.477,480
43.879,-79.473,480
43.879,-79.469,480
43.879,-79.465,480
43.879,-79.461,420
43.879,-79.457,420
43.879,-79.453,240
43.879,-79.449,180
43.879,-79.445,120
43.879,-79.441,120
43.879,-79.437,120
43.879,-79.433,120
43.879,-79.429,180
43.879,-79.425,180
43.879,-79.421,120
43.879,-79.417,180
43.879,-79.413,240
43.879,-79.409,240
43.879,-79.405,300
43.879,-79.401,300
43.879,-79.397,420
43.879,-79.393,360
43.883,-79.493,480
43.883,-79.489,480
43.883,-79.485,480
43.883,-79.481,480
43.883,-79.477,480
43.883,-79.473,480
43.883,-79.469,420
43.883,-79.465,480
43.883,-79.461,480
43.883,-79.457,360
43.883,-79.453,300
43.883,-79.449,240
43.883,-79.445,120
43.883,-79.441,120
43.883,-79.437,120
43.883,-79.433,120
43.883,-79.429,180
43.883,-79.425,240
43.883,-79.421,300
43.883,-79.417,180
43.883,-79.413,240
43.883,-79.409,240
43.883,-79.405,300
43.883,-79.401,300
43.883,-79.397,300
43.883,-79.393,360
43.887,-79.493,420
43.887,-79.489,420
43.887,-79.485,540
43.887,-79.481,540
43.887,-79.477,480
43.887,-79.473,480
43.887,-79.469,480
43.887,-79.465,420
43.887,-79.461,420
43.887,-79.457,360
43.887,-79.453,300
43.887,-79.449,300
43.887,-79.445,180
43.887,-79.441,120
43.887,-79.437,180
43.887,-79.433,240
43.887,-79.429,300
43.887,-79.425,360
43.887,-79.421,300
43.887,-79.417,240
43.887,-79.413,300
43.887,-79.409,420
43.887,-79.405,300
43.887,-79.401,360
43.887,-79.397,360
43.887,-79.393,300
43.891,-79.493,480
43.891,-79.489,480
43.891,-79.485,660
43.891,-79.481,600
43.891,-79.477,600
43.891,-79.473,540
43.891,-79.469,480
43.891,-79.465,540
43.891,-79.461,420
43.891,-79.457,360
43.891,-79.453,360
43.891,-79.449,420
43.891,-79.445,360
43.891,-79.441,180
43.891,-79.437,240
43.891,-79.433,300
43.891,-79.429,360
43.891,-79.425,300
43.891,-79.421,360
43.891,-79.417,360
43.891,-79.413,360
43.891,-79.409,360
43.891,-79.405,300
43.891,-79.401,240
43.891,-79.397,240
43.891,-79.393,240
43.895,-79.493,480
43.895,-79.489,540
43.895,-79.485,660
43.895,-79.481,660
43.895,-79.477,600
43.895,-79.473,720
43.895,-79.469,540
43.895,-79.465,480
43.895,-79.461,480
43.895,-79.457,420
43.895,-79.453,480
43.895,-79.449,420
43.895,-79.445,360
43.895,-79.441,300
43.895,-79.437,360
43.895,-79.433,420
43.895,-79.429,480
43.895,-79.425,420
43.895,-79.421,360
43.895,-79.417,420
43.895,-79.413,300
43.895,-79.409,300
43.895,-79.405,300
43.895,-79.401,180
43.895,-79.397,180
43.895,-79.393,300
43.899,-79.493,480
43.899,-79.489,540
43.899,-79.485,540
43.899,-79.481,660
43.899,-79.477,660
43.899,-79.473,600
43.899,-79.469,540
43.899,-79.465,-1
43.899,-79.461,-1
43.899,-79.457,-1
43.899,-79.453,-1
43.899,-79.449,-1
43.899,-79.445,-1
43.899,-79.441,-1
43.899,-79.437,-1
43.899,-79.433,-1
43.899,-79.429,-1
43.899,-79.425,-1
43.899,-79.421,-1
43.899,-79.417,-1
43.899,-79.413,-1
43.899,-79.409,-1
43.899,-79.405,-1
43.899,-79.401,-1
43.899,-79.397,-1
43.899,-79.393,-1
43.903,-79.493,-1
43.903,-79.489,-1
43.903,-79.485,-1
43.903,-79.481,-1
43.903,-79.477,-1
43.903,-79.473,-1
43.903,-79.469,-1
43.903,-79.465,-1
43.903,-79.461,-1
43.903,-79.457,-1
43.903,-79.453,-1
43.903,-79.449,-1
43.903,-79.445,-1
43.903,-79.441,-1
43.903,-79.437,-1
43.903,-79.433,-1
43.903,-79.429,-1
43.903,-79.425,-1
43.903,-79.421,-1
43.903,-79.417,-1
43.903,-79.413,-1
43.903,-79.409,-1
43.903,-79.405,-1
43.903,-79.401,-1
43.903,-79.397,-1
43.903,-79.393,-1
43.907,-79.493,-1
43.907,-79.489,-1
43.907,-79.485,-1
43.907,-79.481,-1
43.907,-79.477,-1
43.907,-79.473,-1
43.907,-79.469,-1
43.907,-79.465,-1
43.907,-79.461,-1
43.907,-79.457,-1
43.907,-79.453,-1
43.907,-79.449,-1
43.907,-79.445,-1
43.907,-79.441,-1
43.907,-79.437,-1
43.907,-79.433,-1
43.907,-79.429,-1
43.907,-79.425,-1
43.907,-79.421,-1
43.907,-79.417,-1
43.907,-79.413,-1
43.907,-79.409,-1
43.907,-79.405,-1
43.907,-79.401,-1
43.907,-79.397,-1
43.907,-79.393,-1
43.911,-79.493,-1
43.911,-79.489,-1
43.911,-79.485,-1
43.911,-79.481,-1
43.911,-79.477,-1
43.911,-79.473,-1
43.911,-79.469,-1
43.911,-79.465,-1
43.911,-79.461,-1
43.911,-79.457,-1
43.911,-79.453,-1
43.911,-79.449,-1
43.911,-79.445,-1
43.911,-79.441,-1
43.911,-79.437,-1
43.911,-79.433,-1
43.911,-79.429,-1
43.911,-79.425,-1
43.911,-79.421,-1
43.911,-79.417,-1
43.911,-79.413,-1
43.911,-79.409,-1
43.911,-79.405,-1
43.911,-79.401,-1
43.911,-79.397,-1
43.911,-79.393,-1
43.915,-79.493,-1
43.915,-79.489,-1
43.915,-79.485,-1
43.915,-79.481,-1
43.915,-79.477,-1
43.915,-79.473,-1
43.915,-79.469,-1
43.915,-79.465,-1
43.915,-79.461,-1
43.915,-79.457,-1
43.915,-79.453,-1
43.915,-79.449,-1
43.915,-79.445,-1
43.915,-79.441,-1
43.915,-79.437,-1
43.915,-79.433,-1
43.915,-79.429,-1
43.915,-79.425,-1
43.915,-79.421,-1
43.915,-79.417,360
43.915,-79.413,360
43.915,-79.409,300
43.915,-79.405,300
43.915,-79.401,300
43.915,-79.397,300
43.915,-79.393,300
