lat,long,time
43.647,-79.461,300
43.647,-79.451,120
43.647,-79.441,180
43.647,-79.431,120
43.647,-79.421,120
43.647,-79.411,120
43.647,-79.401,120
43.647,-79.391,120
43.647,-79.381,120
43.647,-79.371,60
43.647,-79.361,120
43.647,-79.351,180
43.647,-79.341,420
43.657,-79.461,120
43.657,-79.451,120
43.657,-79.441,120
43.657,-79.431,180
43.657,-79.421,180
43.657,-79.411,120
43.657,-79.401,120
43.657,-79.391,120
43.657,-79.381,120
43.657,-79.371,180
43.657,-79.361,120
43.657,-79.351,120
43.657,-79.341,180
43.667,-79.461,180
43.667,-79.451,180
43.667,-79.441,240
43.667,-79.431,120
43.667,-79.421,120
43.667,-79.411,120
43.667,-79.401,120
43.667,-79.391,120
43.667,-79.381,60
43.667,-79.371,120
43.667,-79.361,240
43.667,-79.351,300
43.667,-79.341,180
43.677,-79.461,180
43.677,-79.451,180
43.677,-79.441,120
43.677,-79.431,120
43.677,-79.421,180
43.677,-79.411,120
43.677,-79.401,120
43.677,-79.391,120
43.677,-79.381,120
43.677,-79.371,120
43.677,-79.361,120
43.677,-79.351,180
43.677,-79.341,120
43.687,-79.461,300
43.687,-79.451,180
43.687,-79.441,120
43.687,-79.431,240
43.687,-79.421,120
43.687,-79.411,180
43.687,-79.401,120
43.687,-79.391,120
43.687,-79.381,240
43.687,-79.371,420
43.687,-79.361,300
43.687,-79.351,240
43.687,-79.341,120
43.697,-79.461,180
43.697,-79.451,120
43.697,-79.441,240
43.697,-79.431,180
43.697,-79.421,120
43.697,-79.411,120
43.697,-79.401,180
43.697,-79.391,120
43.697,-79.381,180
43.697,-79.371,120
43.697,-79.361,300
43.697,-79.351,240
43.697,-79.341,120
43.707,-79.461,180
43.707,-79.451,120
43.707,-79.441,180
43.707,-79.431,180
43.707,-79.421,180
43.707,-79.411,180
43.707,-79.401,120
43.707,-79.391,120
43.707,-79.381,120
43.707,-79.371,120
43.707,-79.361,180
43.707,-79.351,120
43.707,-79.341,180
43.717,-79.461,240
43.717,-79.451,180
43.717,-79.441,180
43.717,-79.431,180
43.717,-79.421,180
43.717,-79.411,120
43.717,-79.401,60
43.717,-79.391,180
